number,title,url,state,response_time,ask_time,content
编号：251823,厚街镇政府旁居民集中区天台养鸡🐔，疫情传播窝点，臭味熏天，蚊蝇滋生， 噪音扰民，请及时清除。,http://wz.sun0769.com/political/politics/index?id=462688,状态：已受理,等待回复：27天21小时22分,发布日期2020-07-01 10:47:17,尊敬的政府领导，你们好，现在向你们反映厚街镇岳范山新村二巷13号的住户在四楼天台养鸡🐔，大概一二十只鸡，成了养殖场了，搞的周围臭味熏天，高温天气鸡圈里的骚臭味更浓，阴天下雨天气，蚊蝇滋生特别厉害，刮风天气，鸡毛飞上天，气味难闻，周围都没办法开窗通风，造成空气和生活管理的污染。还有那个鸡经常咯咯哒哒的叫，非常吵，噪音扰民。况且在镇中心居民区养殖家禽，极易发生禽流感什么的病源，造成疫情传染，现在新冠疫情特别时期更需要特别的卫生环境安全。所以希望贵局能够马上清除处理掉这个环境污染，疫情传播隐患窝点，还周围人民一个干净清净卫生的生活环境。谢谢。
编号：251834,出入境护照办理事宜,http://wz.sun0769.com/political/politics/index?id=462706,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:34:43,领导你们好。目前国内疫情相对来说已经得到了比较好的控制效果，目前东莞有好多工厂都是做出口单的，有时候和国外有必然的联系，我们不能闭门造车，造出来的车没地方销售吧。身为在莞十几年的一位建设者建议开启护照预约办理，并希望出入境能附上办理护照要求说明，毕竟目前广州和深圳惠州都可以网上预约，总不能叫老百姓跑其它地方去办理吧。
编号：251836,满五唯一的计算方法,http://wz.sun0769.com/political/politics/index?id=462708,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:41:08,满五唯一是以房产证算还是契税发票来算，速回谢谢
编号：251831,移动公司电话套餐功能取消问题,http://wz.sun0769.com/political/politics/index?id=462703,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:19:54,领导您好，本人因工作关系，所以申请了公司局域网月5元任打套餐，现在不想用了，打电话给移动公司10086通知取消该套功能，结果被告知，要本人到沟通100才能办理。我的问题是，我当时申请这个功能的时候，是电话申请开通的，为什么取消却要门店去办理？标准在哪里，理由是什么？收钱的时候各种方便，收不到钱了，就各种刁难？是不是故意设这个门坎，有些不想为了几块钱跑一趟，或迟一阵子才去办理，然后移动公司就可以接着收入一大笔？一个人5块（有些还是10块的），一万个人就是5万块，如果有一百万人，一个月多收500万，收入可观啊?希望政府部门纠正这个公司的不良行为
编号：251837,东莞市桥头镇峰景台开发商不给已装修入住业主办理房产证,http://wz.sun0769.com/political/politics/index?id=462709,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:42:22,尊敬的东莞市不动产登记中心：本人是桥头镇凯达华庭三期峰景台的一名业主。本来辛辛苦苦存钱买房了是一件很高兴的事情，但买了之后才发现峰景台是一个独立小区，与凯达华庭无关，而且买房的时候看的是样板房，销售说装修可和样板间一样，也就是说我们的户型可以和样板间一样，入户是可以封窗的，那样即使下雨家里也不会进水，没有影响，我们装修在2019年十月份已完工，装修时提供了图纸给开发商和物业审核，装修完成后物业已验收通过，今年初，装修押金已退，现在到了办房产证这个环节，律师却说因为封了透明玻璃窗锁档案了，我们的房产证无法办理，此刻，我们好无奈，装修报批和验收都是开发商和物业签名确认的。我们那个户型设计，进门就是入户连着客厅，如果不封窗，灰尘，雨水，蚊虫，汽车噪音叫我们如何居住呢，最关键一点是孩子爬上护栏摔下去，万一出事，谁会替我们承受这一份心痛，谁能承担这份责任？装修时没有一个人说不会因为这个封窗的原因而影响办房产证，我们这些外来工，能在自己打拼的这个城市买一套自己住的房子不容易，还欠那么多贷款，政府是否有站在我们的角度替我们想问题呢，为民办实事呢？希望各领导下来调研，听听我们的诉求。我们80多户人都是受害者。请为我们主持公道，即使今年改了相关规定，是否也应该结合我们的实际情况，如果装修时，有文件规定我们不能封窗，那我们可以改设计，把一切安全因素都考虑到，目前我们最关心的问题是，大门打开，进门如果只有护栏，几平方的裸露空间，如果孩自攀爬坠落，后果将不堪设想，家是我们的港湾，在家都不能安心，我们又该何去何从，希望领导从安全角度替我们孩子考虑问题，近几年，孩童坠落死亡案件不是只有一俩例，希望你们能重视此问题。谢谢！
编号：251825,横沥*招商雍景湾 诱导买房不退定金,http://wz.sun0769.com/political/politics/index?id=462694,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:05:09,1.本人与2020年6月25日被中介介绍，来到横沥镇招商雍景湾销售中心看房，被销售诱导买房，交3万定金：a.交定金之前问过销售能不能先给诚意金，考虑几天确定要买再交定金，销售说不可以；问交了3万定金是否可以在规定时间内退定，答不能退b.房产总价200万，首付约60万，贷款140万，按我们的收入，家庭总负债太高（总收入16000，负债11000），贷款额度不够，销售便推荐第三方平安银行，叫我们去开个卡，存50万买一个理财产品，再退掉，说这样就可以解决贷款额度不足的问题，诱导我们交定金。后来回到家，冷静思考后，我们觉得借的别人的首付钱要还，每个月负债又那么多，压力太大，于是628日早上跟销售沟通退房，被告知超过48小时，不能退，但是开始交定金时并未告知48小时内可以退，导致我们错过了黄金时间。我们觉得被欺骗了，被强制，绑架消费！2.本来首付款50万，其中有30万是借的亲戚的，628号亲戚突然打电话说有急事要用钱，不能借给我们了，我们就把钱打给他了，首付款也不够了。3.629日上午，我们继续与销售微信沟通，她却一直不回，说未收到领导答复。629日晚上7点左右我们夫妻俩来到现场再跟销售沟通，她继续推诿说领导未回复，联系不上领导；630日上午，销售仍说不退，我们实在无法接受这个结果，于是我老公下午1点，请假去到销售中心现场跟他们沟通，说如果当初不是他们诱导消费，不让我们用做假流水的方法提高贷款额度，我们就不会交定金。他们有错在先，才导致我们冲动地交了定金。销售人员不理会我们的请求，把我老公晾在那里，不安抚，不处理，继续她做自己的事情。630日晚上7点，我下班后到达销售中心，问我老公怎么样，我老公觉得等了一下午还得不到重视，问题解决不了，非常生气，情绪非常激动，在销售知情的情况下，一怒之下跑去项目部施工地楼上，要跳楼。我被吓坏了，销售这才重视起来，马上找来了现场经理和施工单位负责人，然后把我们拉到一个密闭的会议室，先安抚后训斥，责怪我们不该这样，一直到晚上9点，他们给的结论仍旧是不退，叫我们打市民热线或12315求助！3.希望政府能帮忙跟开发商沟通，帮我们要回定金。3万对我们来说，是大半年的血汗钱，就这样被他们没收，我们实在觉得委屈，不合理！我们都是工薪阶层，低收入人群，上有老下有小，生活压力本来就已经很大，经不起这样的打击了！自从昨晚跳楼事件后回到家，我老公就一直不说话，情绪低迷，状态非常不好，我真怕这样下去会出事！请你们尽快帮帮我们这些底层的贫苦百姓，救救我们这个小家，我们一定感激不尽！现在我们对开发商非常失望，觉得他们没有社会公德心，责任感，只想着卖房拿业绩，完全不替客户考虑。这样的楼盘，以后住进去也是不安心的！希望政府帮忙沟通，别让我们这样的穷苦大众再对人生失望，对社会失望了！谢谢
编号：251833,万科物业拖欠保洁老人工资,http://wz.sun0769.com/political/politics/index?id=462705,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:25:17,道滘镇沿海丽水佳园万科物业拖欠保洁工人工资长达4个月，目前保洁人全部罢工，小区清洁垃圾没人处理。一群70、80岁的老人投诉无门。
编号：251839,桥头峰景台开发商欺诈业主、违规操作,http://wz.sun0769.com/political/politics/index?id=462711,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:49:26,尊敬的住建局领导：本人是桥头镇峰景台小区的一名业主，本来买房是件高兴的事情，但买房入住后的一系列事件，让本人严重怀疑峰景台开发商泰利房地主公司存在严重欺诈、违规行为，以下是本人提出的问题点及诉求，希望住建局领导帮帮我们，还我们峰景台的受害业主一个公道：1、购房前宣传是凯达华庭三期.峰景台，购房后告诉我们峰景台是独立小区。导致峰景台业主不能自由从凯达华庭小区进出。2、购房时峰景台和凯达华庭二期之间的桥是畅通的，沙盘上的显示桥两边没有阶梯及门禁，购房后桥两边加了门禁及阶梯，导致我们不能畅通过桥。3、购房后开发商以入户封窗为由阻碍业主办理房产证（购房时交代理办证费用）。导致我们已装修封窗入住业主面临办不到房产证，或需拆除封窗。如入户那里不能封窗，开发商、销售、物业报装时明确告诉可以封窗，而且样版房也是封窗的。入户那里如果不封窗根本就不能居住，每天风吹雨淋，房屋进水、灰尘噪音，而且有高空坠物的安全隐患。诉求：1、开发商虚假宣传，导致购房者错误购买，要求开发商承担购房者错误购买损失2、恢复二期和峰景台之间桥梁的畅通，或开通一条直通莲湖的道路。3、开发商需马上处理房产证办理、入户封窗事宜，如因开发商设计缺陷或政策违规造成的后果，希望开发商全部承担。我们大部分购房者都是在东莞辛苦打拼一二十年，为了小孩子上学，省吃俭用好不容易在桥头买套房，没想到碰到如此糟心的事情，我们也是没有办法了，才进行投诉，恳求各位领导百忙之中帮忙处理，谢谢！
编号：251829,国家坚持“房住不炒”的理念，东莞松山湖房价却三个月上涨一万一平？,http://wz.sun0769.com/political/politics/index?id=462701,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 11:17:11,国家对于房子的态度一直以来都是“房子是用来住的、不是用来炒的”。自疫情以来，东莞的房价就猛涨，尤以松山湖上涨幅度最大，房价最高。三月份翠龙湾一二期4万一平，现在五万二至五万五。短短几个月上涨了一万多一平，还有锦绣山河，虹溪诺雅，长城世家，松湖花园。松山湖的业主在微信群有集体抱团涨价的嫌疑以及中介哄抬房价，制造楼市紧张氛围，再加上外来炒客团的居多因素，导致东莞的房价上涨幅度位居全国第一。政府应加强管控，坚持国家“房住不炒”理念，才能让东莞人民安居乐业，让真正刚需的市民买得起房子。
编号：251817,黑化工厂,http://wz.sun0769.com/political/politics/index?id=462682,状态：待处理,等待处理：27天9小时26分,发布日期2020-07-01 10:38:31,位干茶山增埗卢屋路228号1号楼103室的化工厂又开始偷偷生产了，生产时粉尘与臭味严重。
